file_id,file_name,file_size,workflow,patient_count
a2a5eafe-27be-4d43-b8e6-8a6af772841f,22154f9d-6517-4fa0-9d64-de75bccc0d0e.wxs.aliquot_ensemble_masked.maf.gz,116128,Aliquot Ensemble Somatic Variant Merging and Masking,1
1cc4878e-349d-42a5-b272-c74c7d19cd10,22ac955c-e0d7-4b5e-9d92-5a982e84e51a.wxs.aliquot_ensemble_masked.maf.gz,42993,Aliquot Ensemble Somatic Variant Merging and Masking,1
a73e30b7-55b7-4465-9132-4bfadfcaf372,22e9286d-c0d8-443e-8de8-65fbcf4903cd.wxs.aliquot_ensemble_masked.maf.gz,153180,Aliquot Ensemble Somatic Variant Merging and Masking,1
80033295-4cbb-4276-80a1-0cdebf93fbd6,231d8ad3-1bf2-4171-aed4-863667c7a41f.wxs.aliquot_ensemble_masked.maf.gz,131986,Aliquot Ensemble Somatic Variant Merging and Masking,1
e87a5ce4-3ac2-49db-80cd-1b0cec1a49bd,23323f4e-584a-42dd-b9c6-2ad74f2c9006.wxs.aliquot_ensemble_masked.maf.gz,126274,Aliquot Ensemble Somatic Variant Merging and Masking,1
1feeceed-eebc-4e63-a927-967957966279,233bcb50-adfa-42f6-a9ff-7ee44cc44d3d.wxs.aliquot_ensemble_masked.maf.gz,1719,Aliquot Ensemble Somatic Variant Merging and Masking,1
7e89e242-69ef-4c82-8069-460a36bed8e1,23472ce9-116c-46b6-812c-5fdf93d253e4.wxs.aliquot_ensemble_masked.maf.gz,133345,Aliquot Ensemble Somatic Variant Merging and Masking,1
463e5386-ef24-48ae-b39c-4c13ab36e6be,23d0de5d-9159-4edb-969e-efb3e580e56e.wxs.aliquot_ensemble_masked.maf.gz,103174,Aliquot Ensemble Somatic Variant Merging and Masking,1
ca656ad9-cb41-490a-9f6e-3b308b640a94,241a7084-76d4-4e1d-83cf-b119b2d12cf4.wxs.aliquot_ensemble_masked.maf.gz,18666,Aliquot Ensemble Somatic Variant Merging and Masking,1
a5f3e48f-49da-4a53-9fb2-d852a262696f,24a099cb-ad1e-4f55-8b31-3e2a46f625ff.wxs.aliquot_ensemble_masked.maf.gz,187650,Aliquot Ensemble Somatic Variant Merging and Masking,1
89b69526-12a8-48f2-a23c-7af1523b1124,24b01859-8a9e-4986-92fb-9956ea88fd18.wxs.aliquot_ensemble_masked.maf.gz,6470,Aliquot Ensemble Somatic Variant Merging and Masking,1
c212ca6c-4b04-40fb-ab4c-203f544cd337,25578ff6-f477-4506-89ab-52018cd75aef.wxs.aliquot_ensemble_masked.maf.gz,115498,Aliquot Ensemble Somatic Variant Merging and Masking,1
401b2d00-7678-4c47-9468-73debf61a5f2,257c51d5-e3bf-4c3f-9cd6-acf827764784.wxs.aliquot_ensemble_masked.maf.gz,37412,Aliquot Ensemble Somatic Variant Merging and Masking,1
eee02b4a-375e-4947-b2f1-b0f48f95423b,25e5d1ef-c0e7-43c7-b4b1-dc1db7d06ed3.wxs.aliquot_ensemble_masked.maf.gz,161183,Aliquot Ensemble Somatic Variant Merging and Masking,1
d00797fa-95bc-41a5-9687-de759bb98109,260fbe44-d0d3-4722-aa64-730c727e5dc1.wxs.aliquot_ensemble_masked.maf.gz,4277,Aliquot Ensemble Somatic Variant Merging and Masking,1
02f8051b-eeba-4da3-a517-b0b92ff4efac,26b2b1c8-8f78-4ef9-a90e-f5744154b8b4.wxs.aliquot_ensemble_masked.maf.gz,159197,Aliquot Ensemble Somatic Variant Merging and Masking,1
