Gene	STRING_id	Degree	Betweenness	Closeness	Eigenvector	PageRank	CompositeScore	Rank	Percentile
EDA2R	9606.ENSP00000379365	2	0	0.239467849223947	0.00768674520282747	0.000905548228904203	-2.27239648288661	299	0.693023
ADAMTS20	9606.ENSP00000374071	2	0	0.239467849223947	0.00768674520282747	0.000905548228904203	-2.27239648288661	300	0.695349
LGALS9C	9606.ENSP00000329932	2	0	0.237188872620791	0.0108590551698653	0.000851339840954107	-2.28002477177122	301	0.697674
LGALS9B	9606.ENSP00000315564	2	0	0.237188872620791	0.0108590551698653	0.000851339840954107	-2.28002477177122	302	0.7
RHOBTB2	9606.ENSP00000427926	2	0	0.232424677187948	0.0186411494483592	0.000746508467501487	-2.2805604045819	303	0.702326
LGI3	9606.ENSP00000302297	2	0	0.232424677187948	0.0186411494483592	0.000746508467501487	-2.2805604045819	304	0.704651
DGKB	9606.ENSP00000385780	2	0	0.237188872620791	0.00766994722288736	0.000913669517192352	-2.28210784532839	305	0.706977
DDX25	9606.ENSP00000263576	2	0	0.205714285714286	0.000617346100930807	0.00125381264138083	-2.37587682109689	306	0.709302
H1-5	9606.ENSP00000330074	2	0	0.205714285714286	0.000617346100930808	0.00125381264138083	-2.37587682109689	307	0.711628
SPATA18	9606.ENSP00000295213	2	0	0.20012353304509	0.000651473709178658	0.00126651272931407	-2.4023730073704	308	0.713953
MEGF11	9606.ENSP00000386908	2	0	0.195652173913043	0.000465858913828559	0.00132145209689881	-2.40447800386512	309	0.716279
VGLL1	9606.ENSP00000359668	2	0	0.215856095936043	0.00164078366498041	0.00102616860257686	-2.41389950895597	310	0.718605
ZNF385B	9606.ENSP00000386845	2	0	0.220558202859088	0.00214437846401258	0.00093399765908593	-2.42491088611396	311	0.72093
ERVV-1	9606.ENSP00000473153	2	0	0.20377358490566	0.000953114076173751	0.0011373157067791	-2.43908883170233	312	0.723256
FAM177B	9606.ENSP00000414451	2	0	0.216	0.00959158082894318	0.000782599062389118	-2.44959227786612	313	0.725581
HOXA1	9606.ENSP00000494260	2	0	0.213438735177866	0.00123502289533631	0.000974043114660624	-2.45678955478081	314	0.727907
